Country,Date,search_interest,raw_incidence_rate,search_rank
Argentina,8/18,1,4.03,50
Paraguay,8/18,1,4.24,49
Uruguay,8/18,1,0,48
Bolivia,8/18,2,1.16,47
Chile,8/18,2,0,46
Ecuador,8/18,2,16.47,45
Peru,8/18,2,0.3,44
Brazil,8/18,3,120.45,43
Colombia,8/18,3,208.96,42
El Salvador,8/18,3,179.19,41
Panama,8/18,4,39.22,40
Venezuela,8/18,4,178.25,39
Suriname,8/18,6,620.8,38
Canada,8/18,9,0,37
Dominican Republic,8/18,9,49.84,36
Guyana,8/18,9,0.78,35
Haiti,8/18,9,19.63,34
Mexico,8/18,9,1.26,33
French Guiana,8/18,12,3555.43,32
Costa Rica,8/18,13,33.6,31
United States,8/18,14,0,30
Guatemala,8/18,17,15.29,29
Cuba,8/18,18,0.03,28
Martinique,8/18,19,8667.17,27
Honduras,8/18,21,367.36,26
Aruba,8/18,23,18.42,25
Curacao,8/18,23,139.6,24
Saint Kitts and Nevis,8/18,23,0,23
Montserrat,8/18,26,0,22
Nicaragua,8/18,28,22.21,21
Barbados,8/18,32,192.44,20
The Bahamas,8/18,32,0.25,19
Belize,8/18,37,1.36,18
Saint Barthelemy,8/18,37,4788.89,17
Anguilla,8/18,38,111.76,16
Jamaica,8/18,40,162.08,15
Dominica,8/18,43,1237.84,14
Guadeloupe,8/18,47,5711.04,13
Puerto Rico,8/18,54,290.41,12
Saint Lucia,8/18,54,448.78,11
Bermuda,8/18,64,0,10
Cayman Islands,8/18,68,3.51,9
Saint Martin,8/18,68,5652.78,8
British Virgin Islands,8/18,70,0,7
Turks and Caicos,8/18,76,3.92,6
Antigua and Barbuda,8/18,80,20.21,5
Grenada,8/18,87,250.45,4
U.S. Virgin Islands,8/18,87,534.95,3
Trinidad and Tobago,8/18,90,10.92,2
Saint Vincent,8/18,100,190.2,1
Argentina,8/25,1,4.03,50
Chile,8/25,1,0,49
Paraguay,8/25,1,4.24,48
Peru,8/25,1,0.3,47
Uruguay,8/25,1,0,46
Bolivia,8/25,2,1.16,45
Colombia,8/25,2,209.86,44
Ecuador,8/25,2,16.83,43
Brazil,8/25,3,120.45,42
El Salvador,8/25,3,180.05,41
Venezuela,8/25,3,183.38,40
Panama,8/25,4,42.21,39
Dominican Republic,8/25,6,50.33,38
Suriname,8/25,6,623.91,37
Canada,8/25,7,0,36
Costa Rica,8/25,8,41.55,35
Haiti,8/25,8,27.29,34
Guyana,8/25,9,0.78,33
French Guiana,8/25,10,3602.54,32
Mexico,8/25,10,1.46,31
Martinique,8/25,12,8831.31,30
Anguilla,8/25,13,123.53,29
Guatemala,8/25,13,16.82,28
United States,8/25,14,0,27
Honduras,8/25,15,370.16,26
Cuba,8/25,19,0.03,25
Curacao,8/25,20,139.6,24
Dominica,8/25,20,1252.7,23
Nicaragua,8/25,20,25.27,22
Belize,8/25,22,1.36,21
Aruba,8/25,23,18.42,20
Montserrat,8/25,23,0,19
Saint Barthelemy,8/25,23,6122.22,18
Saint Kitts and Nevis,8/25,25,0,17
Guadeloupe,8/25,30,6039.07,16
Barbados,8/25,34,194.16,15
Jamaica,8/25,34,162.08,14
Puerto Rico,8/25,40,358.22,13
Bermuda,8/25,42,0,12
Saint Martin,8/25,44,6041.67,11
Saint Lucia,8/25,48,448.78,10
U.S. Virgin Islands,8/25,56,534.95,9
Grenada,8/25,64,285.59,8
Antigua and Barbuda,8/25,66,20.21,7
Trinidad and Tobago,8/25,67,18.61,6
The Bahamas,8/25,68,0.76,5
Cayman Islands,8/25,71,5.26,4
Saint Vincent,8/25,73,190.2,3
Turks and Caicos,8/25,75,3.92,2
British Virgin Islands,8/25,100,0,1
Argentina,9/1,1,4.06,50
Bolivia,9/1,1,1.16,49
Chile,9/1,1,0,48
Colombia,9/1,1,210.34,47
Ecuador,9/1,1,17.75,46
Paraguay,9/1,1,7.99,45
Peru,9/1,1,0.3,44
Uruguay,9/1,1,0,43
Brazil,9/1,2,131.41,42
El Salvador,9/1,2,180.75,41
Panama,9/1,2,43.48,40
Venezuela,9/1,2,183.38,39
Suriname,9/1,3,626.28,38
French Guiana,9/1,4,3629.71,37
Guyana,9/1,4,0.78,36
Canada,9/1,5,0,35
Dominican Republic,9/1,5,50.96,34
Haiti,9/1,5,27.29,33
Montserrat,9/1,5,0,32
Costa Rica,9/1,6,48.34,31
Mexico,9/1,7,1.66,30
Guatemala,9/1,8,17,29
Martinique,9/1,8,8899.49,28
United States,9/1,8,0.01,27
Honduras,9/1,9,378.02,26
Nicaragua,9/1,10,27.01,25
Aruba,9/1,11,18.42,24
Cuba,9/1,11,0.03,23
Saint Barthelemy,9/1,11,6622.22,22
Anguilla,9/1,12,129.41,21
Curacao,9/1,12,139.6,20
Dominica,9/1,17,1416.22,19
Guadeloupe,9/1,17,6166.45,18
Saint Kitts and Nevis,9/1,18,0,17
Belize,9/1,19,1.36,16
Barbados,9/1,20,194.16,15
Jamaica,9/1,21,167.04,14
Bermuda,9/1,23,0,13
Saint Lucia,9/1,24,504.88,12
Puerto Rico,9/1,26,389.41,11
Saint Martin,9/1,30,6083.33,10
The Bahamas,9/1,35,1.53,9
Turks and Caicos,9/1,35,3.92,8
Trinidad and Tobago,9/1,38,24.47,7
Grenada,9/1,40,343.24,6
Saint Vincent,9/1,40,190.2,5
U.S. Virgin Islands,9/1,47,738.83,4
Antigua and Barbuda,9/1,49,20.21,3
Cayman Islands,9/1,49,8.77,2
British Virgin Islands,9/1,100,14.71,1
Argentina,9/8,1,4.11,50
Paraguay,9/8,1,7.99,49
Peru,9/8,1,0.31,48
Uruguay,9/8,1,0,47
Bolivia,9/8,2,1.16,46
Brazil,9/8,2,131.41,45
Chile,9/8,2,0,44
Colombia,9/8,2,210.99,43
Ecuador,9/8,2,17.77,42
Panama,9/8,2,45.16,41
El Salvador,9/8,3,181.4,40
Venezuela,9/8,3,183.38,39
Suriname,9/8,5,626.28,38
Dominican Republic,9/8,6,50.96,37
Canada,9/8,7,0,36
French Guiana,9/8,7,3640.58,35
Guyana,9/8,7,0.78,34
Haiti,9/8,7,27.29,33
Costa Rica,9/8,9,54.91,32
Martinique,9/8,9,8987.88,31
Guatemala,9/8,10,17.48,30
Mexico,9/8,10,1.86,29
United States,9/8,10,0.01,28
Honduras,9/8,11,378.02,27
Anguilla,9/8,12,141.18,26
Montserrat,9/8,12,0,25
